num_hidden,hidden_size,lr,alpha,batch_size,num_epochs,val_acc,val_loss
1,18,0.001,0.0001,128,100,89.46527777777779,0.3466976134673409
2,18,0.001,0.0001,128,100,89.46527777777779,0.3466976134673409
1,36,0.001,0.0001,128,100,94.01388888888889,0.23565477158712303
2,36,0.001,0.0001,128,100,95.84722222222223,0.17566794247730916
1,72,0.001,0.0001,128,100,95.84722222222223,0.18435133475324383
2,72,0.001,0.0001,128,100,95.84722222222223,0.17347579977434613
1,144,0.001,0.0001,128,100,95.84722222222221,0.17614145065131398
2,144,0.001,0.0001,128,100,95.84722222222221,0.17412205448617107
1,18,0.001,0.001,128,100,86.5,0.3961714498374773
2,18,0.001,0.001,128,100,95.73611111111111,0.1855837812890177
1,36,0.001,0.001,128,100,95.125,0.2392536381016607
2,36,0.001,0.001,128,100,95.84722222222221,0.17810745125879412
1,72,0.001,0.001,128,100,95.84722222222221,0.19953192822311233
2,72,0.001,0.001,128,100,95.84722222222223,0.1750891163945198
1,144,0.001,0.001,128,100,95.84722222222221,0.18852547083211985
2,144,0.001,0.001,128,100,95.84722222222223,0.17326706498861313
1,18,0.001,0.01,128,100,70.83333333333334,0.6473615786303645
2,18,0.001,0.01,128,100,51.10416666666667,0.6930093982945318
1,36,0.001,0.01,128,100,79.52083333333334,0.5960041963535806
2,36,0.001,0.01,128,100,50.770833333333336,0.6930020752160446
1,72,0.001,0.01,128,100,85.64583333333334,0.5464542298213295
2,72,0.001,0.01,128,100,50.375,0.6931771501250888
1,144,0.001,0.01,128,100,91.42361111111111,0.492989057302475
2,144,0.001,0.01,128,100,51.277777777777786,0.6930515304855678
1,18,0.001,0.1,128,100,51.05555555555556,0.6929593635642011
2,18,0.001,0.1,128,100,50.30555555555556,0.693126814780028
1,36,0.001,0.1,128,100,50.63888888888889,0.6930709947710453
2,36,0.001,0.1,128,100,50.77777777777778,0.6931286366089531
1,72,0.001,0.1,128,100,50.78472222222222,0.6930618985839512
2,72,0.001,0.1,128,100,50.50000000000001,0.6931260015653528
1,144,0.001,0.1,128,100,50.534722222222214,0.6930601192557294
2,144,0.001,0.1,128,100,50.40277777777778,0.6931252785350965
1,18,0.01,0.0001,128,100,95.84722222222223,0.1792030699227167
2,18,0.01,0.0001,128,100,95.84722222222223,0.17260300990032112
1,36,0.01,0.0001,128,100,95.84722222222223,0.17658993582362711
2,36,0.01,0.0001,128,100,95.84722222222221,0.17264811425753263
1,72,0.01,0.0001,128,100,95.84722222222221,0.17532739827166433
2,72,0.01,0.0001,128,100,95.84722222222223,0.17369372041329095
1,144,0.01,0.0001,128,100,95.84722222222221,0.17507743226445238
2,144,0.01,0.0001,128,100,95.84722222222221,0.1743154378040977
1,18,0.01,0.001,128,100,95.34027777777777,0.23092697029528408
2,18,0.01,0.001,128,100,95.84722222222224,0.17418457178965857
1,36,0.01,0.001,128,100,95.84722222222221,0.20623302887315337
2,36,0.01,0.001,128,100,95.84722222222221,0.1762090623702692
1,72,0.01,0.001,128,100,95.84722222222223,0.19129395711681116
2,72,0.01,0.001,128,100,95.84722222222223,0.17471072498870932
1,144,0.01,0.001,128,100,95.84722222222223,0.1882333171756371
2,144,0.01,0.001,128,100,95.84722222222223,0.17379202168920765
1,18,0.01,0.01,128,100,53.5,0.6923496909763502
2,18,0.01,0.01,128,100,50.72222222222222,0.6930018388706706
1,36,0.01,0.01,128,100,57.92361111111111,0.6907872536908025
2,36,0.01,0.01,128,100,50.44444444444444,0.6930719297865162
1,72,0.01,0.01,128,100,65.28472222222221,0.6780262454696324
2,72,0.01,0.01,128,100,50.61111111111111,0.6930206822312398
1,144,0.01,0.01,128,100,57.25,0.6914948976558188
2,144,0.01,0.01,128,100,50.638888888888886,0.6930590240851693
1,18,0.01,0.1,128,100,50.80555555555556,0.6929758025252302
2,18,0.01,0.1,128,100,50.44444444444444,0.6931010909702466
1,36,0.01,0.1,128,100,50.666666666666664,0.6929882396822391
2,36,0.01,0.1,128,100,50.84722222222222,0.6929744958877564
1,72,0.01,0.1,128,100,50.41666666666667,0.6930831743323285
2,72,0.01,0.1,128,100,50.59722222222222,0.6929808502611907
1,144,0.01,0.1,128,100,51.222222222222214,0.6930691978205805
2,144,0.01,0.1,128,100,50.93055555555556,0.6929229269856992
1,18,0.05,0.0001,128,100,91.08333333333333,0.3089033492233442
2,18,0.05,0.0001,128,100,77.3125,0.42590323006329334
1,36,0.05,0.0001,128,100,92.29166666666667,0.2536647042826466
2,36,0.05,0.0001,128,100,85.65277777777777,0.2894539611171121
1,72,0.05,0.0001,128,100,95.66666666666667,0.18360509989054305
2,72,0.05,0.0001,128,100,90.88194444444444,0.24085988447717996
1,144,0.05,0.0001,128,100,95.41666666666666,0.1942080271632775
2,144,0.05,0.0001,128,100,94.77083333333331,0.19385708058657852
1,18,0.05,0.001,128,100,91.02777777777779,0.3633032695106838
2,18,0.05,0.001,128,100,59.70138888888889,0.5910357748360737
1,36,0.05,0.001,128,100,95.06944444444444,0.2403996174750121
2,36,0.05,0.001,128,100,59.29861111111111,0.6042053503834682
1,72,0.05,0.001,128,100,94.71527777777779,0.23816310679135116
2,72,0.05,0.001,128,100,51.13888888888889,0.6929585062939188
1,144,0.05,0.001,128,100,94.92361111111111,0.24135941603909367
2,144,0.05,0.001,128,100,69.99999999999999,0.4866209368990814
1,18,0.05,0.01,128,100,51.32638888888889,0.6929510676342507
2,18,0.05,0.01,128,100,50.98611111111111,0.6928771340328714
1,36,0.05,0.01,128,100,51.791666666666664,0.692872881371042
2,36,0.05,0.01,128,100,50.63194444444444,0.6930560739144036
1,72,0.05,0.01,128,100,52.68055555555556,0.6928137292032657
2,72,0.05,0.01,128,100,50.722222222222214,0.6930122370305268
1,144,0.05,0.01,128,100,52.04166666666667,0.6928611195605734
2,144,0.05,0.01,128,100,50.791666666666664,0.6929900578830553
1,18,0.05,0.1,128,100,50.597222222222214,0.6930915018786555
2,18,0.05,0.1,128,100,50.99999999999999,0.6928783069486204
1,36,0.05,0.1,128,100,51.16666666666667,0.6928471549697545
2,36,0.05,0.1,128,100,50.90277777777778,0.6929181627605272
1,72,0.05,0.1,128,100,51.270833333333336,0.6929960116096165
2,72,0.05,0.1,128,100,50.55555555555556,0.6930267800455508
1,144,0.05,0.1,128,100,51.42361111111111,0.6928871185883232
2,144,0.05,0.1,128,100,51.083333333333336,0.692826012943102
1,18,0.1,0.0001,128,100,56.26388888888889,0.643018822307172
2,18,0.1,0.0001,128,100,50.70833333333333,0.6930360659309056
1,36,0.1,0.0001,128,100,79.875,0.4173997612103172
2,36,0.1,0.0001,128,100,51.47222222222223,0.6912433515424314
1,72,0.1,0.0001,128,100,84.5625,0.37247618009214817
2,72,0.1,0.0001,128,100,56.11111111111111,0.651645595094432
1,144,0.1,0.0001,128,100,95.4375,0.2036644758089729
2,144,0.1,0.0001,128,100,70.97222222222221,0.4757580143601999
1,18,0.1,0.001,128,100,68.17361111111111,0.5657235631476278
2,18,0.1,0.001,128,100,51.09027777777778,0.6929722454236902
1,36,0.1,0.001,128,100,77.50694444444444,0.4392490521721218
2,36,0.1,0.001,128,100,51.138888888888886,0.692930403481359
1,72,0.1,0.001,128,100,77.22916666666667,0.47235074457914933
2,72,0.1,0.001,128,100,60.13888888888889,0.606935520923656
1,144,0.1,0.001,128,100,93.17361111111111,0.3014347071233003
2,144,0.1,0.001,128,100,53.083333333333336,0.6917699259260427
1,18,0.1,0.01,128,100,51.909722222222214,0.6928239179694134
2,18,0.1,0.01,128,100,50.99305555555556,0.6930935045947197
1,36,0.1,0.01,128,100,52.49305555555556,0.6927124381065368
2,36,0.1,0.01,128,100,51.18055555555556,0.6929116394208825
1,72,0.1,0.01,128,100,52.32638888888889,0.6922452890354654
2,72,0.1,0.01,128,100,51.17361111111111,0.6930883827416794
1,144,0.1,0.01,128,100,52.29166666666667,0.6926320262577222
2,144,0.1,0.01,128,100,51.15972222222222,0.69302818775177
1,18,0.1,0.1,128,100,50.99305555555556,0.6929660403210185
2,18,0.1,0.1,128,100,50.81944444444444,0.6929865355076997
1,36,0.1,0.1,128,100,50.909722222222214,0.6929724993913069
2,36,0.1,0.1,128,100,50.44444444444444,0.6930433097093001
1,72,0.1,0.1,128,100,51.25,0.6928381349729456
2,72,0.1,0.1,128,100,51.31944444444444,0.6927318153174028
1,144,0.1,0.1,128,100,51.88888888888889,0.6927335609560428
2,144,0.1,0.1,128,100,50.84722222222223,0.6929660247719805
