n,run,test_acc,train_acc
9,0,95.75,95.84722222222223
9,1,96.30555555555556,95.70833333333333
9,2,95.66666666666667,95.86805555555556
9,3,95.72222222222223,95.85416666666667
9,4,96.08333333333333,95.74305555555556
9,5,95.69444444444444,95.86111111111111
9,6,95.69444444444444,95.86111111111111
9,7,95.61111111111111,95.88194444444444
9,8,95.83333333333333,95.82638888888889
9,9,95.88888888888889,95.8125
12,0,96.70833333333333,96.28125
12,1,96.14583333333333,96.14583333333333
12,2,96.60416666666667,96.24479166666667
12,3,96.22916666666667,96.390625
12,4,95.375,95.57291666666667
12,5,93.89583333333333,94.95833333333333
12,6,96.75,96.21875
12,7,96.22916666666667,96.36458333333333
12,8,96.35416666666667,96.21875
12,9,95.85416666666667,95.88020833333333
15,0,94.85,94.31666666666666
15,1,95.7,95.8125
15,2,95.58333333333333,95.525
15,3,94.28333333333333,95.18333333333334
15,4,91.01666666666667,92.12083333333334
15,5,96.46666666666667,95.90416666666667
15,6,93.91666666666667,94.725
15,7,95.96666666666667,96.225
15,8,95.75,95.15416666666667
15,9,95.55,94.44583333333334
