num_hidden,hidden_size,lr,alpha,batch_size,num_epochs,val_acc,val_loss
1,24,0.001,0.0001,128,100,90.95833333333333,0.30490895281235375
2,24,0.001,0.0001,128,100,95.90104166666667,0.178700586160024
1,48,0.001,0.0001,128,100,93.91145833333333,0.25051775366067885
2,48,0.001,0.0001,128,100,96.38541666666666,0.16612300659219423
1,96,0.001,0.0001,128,100,96.36979166666666,0.18327876766522727
2,96,0.001,0.0001,128,100,96.38541666666667,0.16583619885146617
1,192,0.001,0.0001,128,100,96.38541666666666,0.16912437607844671
2,192,0.001,0.0001,128,100,96.390625,0.16667508721351626
1,24,0.001,0.001,128,100,85.33333333333333,0.4055684602260589
2,24,0.001,0.001,128,100,95.33333333333334,0.20058976074059806
1,48,0.001,0.001,128,100,93.84895833333333,0.26998366554578146
2,48,0.001,0.001,128,100,96.0625,0.17541532650589944
1,96,0.001,0.001,128,100,96.21875,0.21323720028003054
2,96,0.001,0.001,128,100,96.38541666666666,0.16380463898181916
1,192,0.001,0.001,128,100,96.38541666666666,0.19172027801473934
2,192,0.001,0.001,128,100,96.39062499999999,0.16258195772767065
1,24,0.001,0.01,128,100,54.041666666666664,0.6916354429721832
2,24,0.001,0.01,128,100,50.98958333333333,0.6929700736204782
1,48,0.001,0.01,128,100,58.192708333333336,0.6887410712242127
2,48,0.001,0.01,128,100,51.0,0.6929405212402344
1,96,0.001,0.01,128,100,59.692708333333336,0.6892983929316203
2,96,0.001,0.01,128,100,51.11979166666667,0.6929397702217102
1,192,0.001,0.01,128,100,60.338541666666664,0.6878049993515014
2,192,0.001,0.01,128,100,50.994791666666664,0.692923240661621
1,24,0.001,0.1,128,100,51.03645833333333,0.6929472438494365
2,24,0.001,0.1,128,100,50.98437499999999,0.6928985857963561
1,48,0.001,0.1,128,100,50.97395833333333,0.6929680546124776
2,48,0.001,0.1,128,100,51.53645833333333,0.6927977824211121
1,96,0.001,0.1,128,100,51.11979166666667,0.6928906416893005
2,96,0.001,0.1,128,100,50.97395833333333,0.6929314390818279
1,192,0.001,0.1,128,100,51.052083333333336,0.6929320903619131
2,192,0.001,0.1,128,100,50.973958333333336,0.6929555718104045
1,24,0.01,0.0001,128,100,95.24479166666666,0.1994341174264749
2,24,0.01,0.0001,128,100,92.17708333333333,0.22038719634215037
1,48,0.01,0.0001,128,100,96.10416666666666,0.18023744255304336
2,48,0.01,0.0001,128,100,96.39583333333334,0.15648722934226195
1,96,0.01,0.0001,128,100,96.375,0.17018002698818843
2,96,0.01,0.0001,128,100,96.38541666666667,0.1579756017525991
1,192,0.01,0.0001,128,100,96.390625,0.16780139381686845
2,192,0.01,0.0001,128,100,96.38541666666667,0.1572986108561357
1,24,0.01,0.001,128,100,92.16145833333334,0.28824999918540317
2,24,0.01,0.001,128,100,77.26562500000001,0.40832767138878506
1,48,0.01,0.001,128,100,94.11979166666666,0.2645044333736102
2,48,0.01,0.001,128,100,69.13020833333333,0.48524618759751326
1,96,0.01,0.001,128,100,94.04166666666666,0.25600818316141766
2,96,0.01,0.001,128,100,50.97916666666667,0.6928766763210297
1,192,0.01,0.001,128,100,95.19270833333333,0.2412453485528628
2,192,0.01,0.001,128,100,59.989583333333336,0.5873410157859326
1,24,0.01,0.01,128,100,51.380208333333336,0.6927984038988748
2,24,0.01,0.01,128,100,50.973958333333336,0.6929161647955577
1,48,0.01,0.01,128,100,51.291666666666664,0.6926562074820201
2,48,0.01,0.01,128,100,50.97395833333333,0.6929169086615244
1,96,0.01,0.01,128,100,51.276041666666664,0.6928037917613983
2,96,0.01,0.01,128,100,50.97395833333333,0.6929337950547537
1,192,0.01,0.01,128,100,51.348958333333336,0.6928541858990986
2,192,0.01,0.01,128,100,50.973958333333336,0.6929033311208089
1,24,0.01,0.1,128,100,50.97395833333333,0.6928962393601736
2,24,0.01,0.1,128,100,50.97395833333333,0.6927629748980204
